"membership","months_char","ride_total"
"casual","January","29238"
"member","January","116468"
"casual","February","32378"
"member","February","114670"
"casual","March","46088"
"member","March","150262"
"casual","April","109004"
"member","April","208817"
"casual","May","174900"
"member","May","281462"
"casual","June","217401"
"member","June","310957"
"casual","July","242793"
"member","July","324439"
"casual","August","231706"
"member","August","346778"
"casual","September","195207"
"member","September","306180"
"casual","October","129119"
"member","October","270479"
